

-425, -1451, 1430	, 
-438, -1433, 1385	, 
-432, -1430, 1387	, 
-436, -1459, 1387	, 
-455, -1443, 1359	, 
-441, -1456, 1403	, 
-419, -1458, 1401	, 
-419, -1426, 1423	, 
-422, -1408, 1392	, 
-410, -1363, 1391	, 
-429, -1460, 1399	, 
-448, -1490, 1409	, 
-452, -1442, 1373	, 
-433, -1410, 1393	, 
-414, -1412, 1397	, 
-428, -1428, 1407	, 
-432, -1456, 1389	, 
-424, -1426, 1415	, 
-427, -1411, 1395	, 
-426, -1424, 1363	, 
-459, -1461, 1403	, 
-438, -1405, 1407	, 
-441, -1440, 1386	, 
-409, -1419, 1392	, 
-424, -1452, 1401	, 
-422, -1413, 1393	, 
-440, -1451, 1376		
