

-1759, -823, -499	, 
-1771, -907, -576	, 
-1786, -891, -574	, 
-1703, -784, -546	, 
-1896, -839, -566	, 
-1838, -893, -573	, 
-1652, -847, -567	, 
-1648, -801, -538	, 
-1788, -762, -533	, 
-1786, -756, -516	, 
-1845, -848, -558	, 
-1702, -863, -569	, 
-1663, -860, -553	, 
-1832, -825, -569	, 
-1793, -807, -552	, 
-1693, -763, -537	, 
-1789, -827, -547	, 
-1785, -824, -536	, 
-1731, -788, -529	, 
-1776, -780, -542	, 
-1822, -866, -573	, 
-1667, -805, -547	, 
-1723, -850, -558	, 
-1770, -845, -555	, 
-1843, -835, -563	, 
-1822, -847, -571	, 
-1715, -791, -561		
