

-1568, -1086, 627	, 
-1522, -1182, 595	, 
-1474, -1176, 611	, 
-1580, -1150, 607	, 
-1576, -1145, 601	, 
-1552, -1126, 595	, 
-1578, -1144, 572	, 
-1565, -1111, 570	, 
-1577, -1126, 562	, 
-1544, -1141, 576	, 
-1561, -1131, 601	, 
-1591, -1138, 604	, 
-1565, -1171, 601	, 
-1522, -1163, 606	, 
-1517, -1134, 603	, 
-1533, -1142, 601	, 
-1578, -1138, 597	, 
-1608, -1135, 583	, 
-1572, -1154, 581	, 
-1541, -1155, 582	, 
-1590, -1161, 601	, 
-1552, -1157, 608	, 
-1555, -1154, 600	, 
-1566, -1140, 591	, 
-1569, -1150, 586	, 
-1548, -1169, 592	, 
-1537, -1152, 607		
