

-1696, -267, -1118	, 
-1650, -229, -1133	, 
-1619, -239, -1120	, 
-1637, -277, -1125	, 
-1644, -322, -1136	, 
-1646, -307, -1160	, 
-1644, -267, -1137	, 
-1648, -230, -1127	, 
-1654, -208, -1128	, 
-1684, -210, -1138	, 
-1683, -226, -1154	, 
-1685, -241, -1153	, 
-1686, -252, -1153	, 
-1681, -245, -1147	, 
-1658, -243, -1139	, 
-1656, -245, -1148	, 
-1648, -249, -1148	, 
-1634, -265, -1155	, 
-1637, -275, -1153	, 
-1645, -266, -1165	, 
-1653, -241, -1153	, 
-1667, -220, -1156	, 
-1692, -223, -1137	, 
-1702, -246, -1169	, 
-1686, -267, -1161	, 
-1639, -265, -1166	, 
-1611, -266, -1138		
