

713, 1767, -795	, 
712, 1776, -802	, 
716, 1775, -813	, 
714, 1775, -801	, 
706, 1778, -805	, 
707, 1772, -788	, 
695, 1779, -793	, 
692, 1796, -770	, 
693, 1792, -775	, 
689, 1791, -773	, 
697, 1792, -772	, 
696, 1787, -777	, 
686, 1794, -767	, 
684, 1798, -752	, 
681, 1802, -757	, 
690, 1807, -759	, 
684, 1799, -768	, 
685, 1811, -762	, 
681, 1805, -766	, 
681, 1807, -755	, 
685, 1824, -753	, 
667, 1811, -746	, 
668, 1815, -753	, 
675, 1810, -756	, 
674, 1808, -761	, 
680, 1814, -758	, 
678, 1815, -746		
