

-1108, -1462, -1041	, 
-1157, -1463, -918	, 
-1086, -1441, -921	, 
-1148, -1413, -914	, 
-1145, -1395, -931	, 
-1149, -1361, -846	, 
-1129, -1450, -910	, 
-1084, -1466, -906	, 
-1125, -1417, -904	, 
-1156, -1405, -897	, 
-1117, -1406, -905	, 
-1119, -1439, -907	, 
-1130, -1438, -917	, 
-1109, -1407, -908	, 
-1130, -1407, -902	, 
-1125, -1426, -923	, 
-1121, -1428, -915	, 
-1134, -1429, -920	, 
-1121, -1416, -899	, 
-1118, -1423, -915	, 
-1117, -1440, -911	, 
-1116, -1423, -929	, 
-1137, -1424, -921	, 
-1120, -1412, -922	, 
-1142, -1418, -922	, 
-1122, -1434, -906	, 
-1119, -1422, -904		
