

-1894, -141, 813	, 
-1823, -92, 802	, 
-1814, -133, 795	, 
-1866, -143, 789	, 
-1878, -110, 792	, 
-1822, -60, 806	, 
-1877, -69, 791	, 
-1868, -90, 802	, 
-1803, -108, 791	, 
-1795, -122, 807	, 
-1854, -109, 801	, 
-1850, -96, 807	, 
-1836, -94, 800	, 
-1804, -92, 813	, 
-1838, -147, 790	, 
-1839, -161, 788	, 
-1849, -150, 775	, 
-1859, -87, 813	, 
-1905, -13, 805	, 
-1841, -41, 805	, 
-1813, -107, 778	, 
-1875, -158, 772	, 
-1871, -117, 780	, 
-1824, -81, 797	, 
-1869, -98, 792	, 
-1861, -118, 808	, 
-1861, -112, 799		
