

-1089, 1866, 19	, 
-1036, 1791, 6	, 
-1050, 1811, -2	, 
-1043, 1837, 16	, 
-1042, 1772, 17	, 
-1059, 1833, 14	, 
-1076, 1860, 31	, 
-1030, 1807, 10	, 
-1012, 1777, -8	, 
-1035, 1849, -7	, 
-1033, 1886, -21	, 
-1019, 1794, -12	, 
-1029, 1807, -9	, 
-1056, 1860, 9	, 
-1053, 1879, 20	, 
-1081, 1868, -3	, 
-1013, 1783, -1	, 
-997, 1752, -15	, 
-1040, 1834, -4	, 
-1048, 1854, 7	, 
-1036, 1799, 1	, 
-1048, 1825, 3	, 
-1039, 1830, 27	, 
-1061, 1836, 4	, 
-1046, 1811, 7	, 
-1017, 1790, 17	, 
-1025, 1790, 18		
