

-866, 1677, -957	, 
-861, 1666, -957	, 
-870, 1680, -954	, 
-872, 1674, -944	, 
-865, 1680, -941	, 
-869, 1663, -952	, 
-873, 1676, -948	, 
-871, 1664, -947	, 
-868, 1671, -953	, 
-867, 1673, -950	, 
-866, 1674, -956	, 
-866, 1673, -962	, 
-869, 1678, -945	, 
-870, 1676, -944	, 
-871, 1677, -942	, 
-867, 1677, -946	, 
-867, 1668, -946	, 
-870, 1673, -956	, 
-867, 1670, -934	, 
-868, 1670, -944	, 
-866, 1680, -951	, 
-867, 1677, -950	, 
-868, 1673, -954	, 
-870, 1670, -953	, 
-868, 1670, -953	, 
-865, 1672, -952	, 
-860, 1676, -940		
